station;Latitude;Longitude
502;47.28333;-62.15
503;47.28333;-62.13333
504;47.275;-62.16667
505;47.275;-62.15
506;47.275;-62.13333
507;47.275;-62.11667
508;47.26667;-62.16667
509;47.26667;-62.15
510;47.26667;-62.13333
511;47.26667;-62.11667
512;47.26667;-62.1
513;47.25833;-62.16667
514;47.25833;-62.15
515;47.25833;-62.13333
516;47.25833;-62.11667
517;47.25833;-62.1
518;47.25;-62.15
519;47.25;-62.13333
520;47.25;-62.11667
521;47.25;-62.1
522;47.24167;-62.13333
523;47.24167;-62.11667
524;47.24167;-62.1
525;47.23333;-62.13333
526;47.23333;-62.11667
527;47.23333;-62.1
528;47.23333;-62.08333
530;47.225;-62.13333
531;47.225;-62.11667
532;47.225;-62.1
533;47.225;-62.08333
534;47.225;-62.06667
535;47.21667;-62.11667
536;47.21667;-62.1
537;47.21667;-62.08333
538;47.21667;-62.06667
540;47.20833;-62.1
541;47.20833;-62.08333
542;47.20833;-62.06667
543;47.20833;-62.05
544;47.2;-62.1
545;47.2;-62.08333
546;47.2;-62.06667
547;47.2;-62.05
548;47.2;-62.03333
549;47.2;-62.01667
551;47.19167;-62.1
552;47.19167;-62.08333
553;47.19167;-62.06667
554;47.19167;-62.05
555;47.19167;-62.03333
556;47.19167;-62.01667
557;47.19167;-62
560;47.18333;-62.08333
561;47.18333;-62.06667
562;47.18333;-62.05
563;47.18333;-62.03333
564;47.18333;-62.01667
565;47.18333;-62
566;47.18333;-61.98333
567;47.18333;-61.96667
568;47.18333;-61.95
569;47.175;-62.01667
570;47.175;-62
571;47.175;-61.98333
572;47.175;-61.96667
573;47.175;-61.95
574;47.16667;-62.01667
575;47.16667;-62
576;47.16667;-61.98333
577;47.16667;-61.96667
578;47.16667;-61.95
579;47.15833;-62
580;47.15833;-61.98333
581;47.15833;-61.96667
582;47.15833;-61.95
600;47.25;-62.16667
601;47.24167;-62.15
602;47.23333;-62.15
603;47.21667;-62.13333
604;47.20833;-62.11667
605;47.175;-62.06667
606;47.175;-62.05
607;47.175;-62.03333
608;47.16667;-62.03333
