name,type,latitude,longitude,comments
206,1,49.00827778,-68.48127778,
207,1,49.00527778,-68.49034722,
208,1,49.00527778,-68.49919444,
209,1,49.00527778,-68.50802778,
210,1,49.00527778,-68.51686111,
211,1,49.00527778,-68.525625,
212,1,49.00527778,-68.53475,
213,1,49.00527778,-68.54356944,
214,1,49.00527778,-68.55258333,
215,1,49.00527778,-68.56140278,
216,27,48.99952778,-68.51686111,
217,1,48.99952778,-68.525625,
218,1,48.99952778,-68.53475,
219,1,48.99952778,-68.54356944,
220,1,48.99952778,-68.55258333,
251,1,49.00901667,-68.56353333,
252,1,49.00476667,-68.57445,
253,1,49.00216667,-68.58161667,
254,1,48.99853333,-68.58731667,
255,27,48.99536667,-68.59416667,
256,1,49.00963333,-68.47291667,
257,1,49.01090278,-68.46453333,
258,1,49.01276111,-68.45584722,
259,1,49.014025,-68.44716944,
260,27,49.01528889,-68.43849167,
261,1,49.01703056,-68.43016944,
